ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,1.0,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
3,1.0,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.495,0.505,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
4,1.0,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
5,1.0,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.5,0.5,0.5,
6,1.0,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.495,0.505,0.5,0.5,0.5,0.5,0.5,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.5,0.5,0.5,
7,1.0,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.5,0.5,0.5,
8,1.0,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.5,0.5,0.5,
9,1.0,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.5,0.5,0.5,
10,1.0,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.33135802469135806,0.5,0.5,0.5,
11,1.0,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.495,0.505,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.5,0.5,0.5,
12,1.0,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.33135802469135806,0.33728395061728395,0.33135802469135806,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.5,0.5,0.5,
13,1.0,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.5,0.5,0.5,
14,1.0,0.3548513410570284,0.3225743294714858,0.3225743294714858,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.5,0.5,0.5,
15,1.0,0.3548513410570284,0.3225743294714858,0.3225743294714858,0.4851456272275397,0.5148543727724603,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.5,0.5,0.5,
16,1.0,0.3548513410570284,0.3225743294714858,0.3225743294714858,0.4851456272275397,0.5148543727724603,0.5,0.5,0.3225743294714858,0.3548513410570284,0.3225743294714858,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.32693891320721397,0.5,0.5,0.5,
17,1.0,0.3548513410570284,0.3225743294714858,0.3225743294714858,0.4851456272275397,0.5148543727724603,0.5,0.5,0.3225743294714858,0.3548513410570284,0.3225743294714858,0.49004901485247043,0.5099509851475296,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.3548513410570284,0.3225743294714858,0.3225743294714858,0.5,0.5,0.5,
18,1.0,0.3548513410570284,0.3225743294714858,0.3225743294714858,0.4851456272275397,0.5148543727724603,0.5,0.5,0.3225743294714858,0.3548513410570284,0.3225743294714858,0.4851456272275397,0.5148543727724603,0.5,0.5,0.32693891320721397,0.3461221735855721,0.32693891320721397,0.3548513410570284,0.3225743294714858,0.3225743294714858,0.5,0.5,0.5,
