ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,1.0,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
3,1.0,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
4,1.0,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
5,1.0,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.5,0.5,0.5,
6,1.0,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.5,0.5,0.5,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.5,0.5,0.5,
7,1.0,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.5,0.5,0.5,
8,1.0,0.33461675922857403,0.332691620385713,0.332691620385713,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.5,0.5,0.5,
9,1.0,0.33461675922857403,0.332691620385713,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.5,0.5,0.5,
10,1.0,0.33461675922857403,0.332691620385713,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.3331358024691358,0.5,0.5,0.5,
11,1.0,0.33461675922857403,0.332691620385713,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.4995,0.5005,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.33461675922857403,0.332691620385713,0.332691620385713,0.5,0.5,0.5,
12,1.0,0.33461675922857403,0.332691620385713,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.3331358024691358,0.3337283950617284,0.3331358024691358,0.33461675922857403,0.332691620385713,0.332691620385713,0.5,0.5,0.5,
13,1.0,0.33461675922857403,0.332691620385713,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.33461675922857403,0.332691620385713,0.332691620385713,0.5,0.5,0.5,
14,1.0,0.33550394800477584,0.33224802599761205,0.33224802599761205,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.33461675922857403,0.332691620385713,0.332691620385713,0.5,0.5,0.5,
15,1.0,0.33550394800477584,0.33224802599761205,0.33224802599761205,0.4985014955129717,0.5014985044870284,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.33461675922857403,0.332691620385713,0.332691620385713,0.5,0.5,0.5,
16,1.0,0.33550394800477584,0.33224802599761205,0.33224802599761205,0.4985014955129717,0.5014985044870284,0.5,0.5,0.33224802599761205,0.33550394800477584,0.33224802599761205,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.33461675922857403,0.332691620385713,0.332691620385713,0.5,0.5,0.5,
17,1.0,0.33550394800477584,0.33224802599761205,0.33224802599761205,0.4985014955129717,0.5014985044870284,0.5,0.5,0.33224802599761205,0.33550394800477584,0.33224802599761205,0.4990004990014985,0.5009995009985014,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.33550394800477584,0.33224802599761205,0.33224802599761205,0.5,0.5,0.5,
18,1.0,0.33550394800477584,0.33224802599761205,0.33224802599761205,0.4985014955129717,0.5014985044870284,0.5,0.5,0.33224802599761205,0.33550394800477584,0.33224802599761205,0.4985014955129717,0.5014985044870284,0.5,0.5,0.332691620385713,0.33461675922857403,0.332691620385713,0.33550394800477584,0.33224802599761205,0.33224802599761205,0.5,0.5,0.5,
