ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,1.0,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
3,1.0,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
4,1.0,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
5,1.0,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.5,0.5,0.5,
6,1.0,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.5,0.5,0.5,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.5,0.5,0.5,
7,1.0,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.5,0.5,0.5,
8,1.0,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.5,0.5,0.5,
9,1.0,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.5,0.5,0.5,
10,1.0,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.3323456790123457,0.5,0.5,0.5,
11,1.0,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.4975,0.5025,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.5,0.5,0.5,
12,1.0,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3323456790123457,0.33530864197530863,0.3323456790123457,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.5,0.5,0.5,
13,1.0,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.5,0.5,0.5,
14,1.0,0.34414327409360906,0.32792836295319544,0.32792836295319544,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.5,0.5,0.5,
15,1.0,0.34414327409360906,0.32792836295319544,0.32792836295319544,0.4925369455371642,0.5074630544628358,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.5,0.5,0.5,
16,1.0,0.34414327409360906,0.32792836295319544,0.32792836295319544,0.4925369455371642,0.5074630544628358,0.5,0.5,0.32792836295319544,0.34414327409360906,0.32792836295319544,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.3301299149724411,0.5,0.5,0.5,
17,1.0,0.34414327409360906,0.32792836295319544,0.32792836295319544,0.4925369455371642,0.5074630544628358,0.5,0.5,0.32792836295319544,0.34414327409360906,0.32792836295319544,0.49501237593285136,0.5049876240671486,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.34414327409360906,0.32792836295319544,0.32792836295319544,0.5,0.5,0.5,
18,1.0,0.34414327409360906,0.32792836295319544,0.32792836295319544,0.4925369455371642,0.5074630544628358,0.5,0.5,0.32792836295319544,0.34414327409360906,0.32792836295319544,0.4925369455371642,0.5074630544628358,0.5,0.5,0.3301299149724411,0.33974017005511775,0.3301299149724411,0.34414327409360906,0.32792836295319544,0.32792836295319544,0.5,0.5,0.5,
