ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,1.0,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
3,1.0,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
4,1.0,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
5,1.0,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.5,0.5,0.5,
6,1.0,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.25,0.75,0.5,0.5,0.5,0.5,0.5,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.5,0.5,0.5,
7,1.0,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.5,0.5,0.5,
8,1.0,1.0,0.0,0.0,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.5,0.5,0.5,
9,1.0,1.0,0.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.5,0.5,0.5,
10,1.0,1.0,0.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.5308641975308642,0.23456790123456792,0.23456790123456792,0.5,0.5,0.5,
11,1.0,1.0,0.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,0.25,0.75,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,1.0,0.0,0.0,0.5,0.5,0.5,
12,1.0,1.0,0.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.23456790123456792,0.5308641975308642,0.23456790123456792,1.0,0.0,0.0,0.5,0.5,0.5,
13,1.0,1.0,0.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
14,1.0,1.0,0.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
15,1.0,1.0,0.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
16,1.0,1.0,0.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
17,1.0,1.0,0.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,0.07142857142857142,0.9285714285714286,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
18,1.0,1.0,0.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
19,1.0,1.0,0.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
20,1.0,1.0,0.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
21,1.0,1.0,0.0,0.0,2.96965017520904E-5,0.9999703034982479,0.5,0.5,0.0,1.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
22,1.0,1.0,0.0,0.0,2.96965017520904E-5,0.9999703034982479,0.5,0.5,0.0,1.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
23,1.0,1.0,0.0,0.0,2.96965017520904E-5,0.9999703034982479,0.5,0.5,0.0,1.0,0.0,0.005434782608695673,0.9945652173913043,0.5,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.5,0.5,
