ActionSet,arrive.w move.e arrive.m,arrive.m move.e arrive.e,arrive.m move.e arrive.m,arrive.m move.e arrive.w,arrive.e pickup pickupfail,arrive.e pickup pickupsuccess,pickupfail pickup pickupsuccess,pickupfail pickup pickupfail,pickupsuccess move.w arrive.w,pickupsuccess move.w arrive.m,pickupsuccess move.w arrive.e,arrive.w putdown putfail,arrive.w putdown putsuccess,putfail putdown putsuccess,putfail putdown putfail,putsuccess move.e arrive.w,putsuccess move.e arrive.m,putsuccess move.e arrive.e,arrive.m move.w arrive.w,arrive.m move.w arrive.m,arrive.m move.w arrive.e,arrive.e move.w arrive.e,arrive.e move.w arrive.m,arrive.e move.w arrive.w,
0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
1,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
2,1.0,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
3,1.0,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.475,0.525,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
4,1.0,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,
5,1.0,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.5,0.5,0.5,
6,1.0,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.475,0.525,0.5,0.5,0.5,0.5,0.5,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.5,0.5,0.5,
7,1.0,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.5,0.5,0.5,
8,1.0,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.5,0.5,0.5,
9,1.0,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.5,0.5,0.5,
10,1.0,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.3234567901234568,0.5,0.5,0.5,
11,1.0,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.475,0.525,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.5,0.5,0.5,
12,1.0,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3234567901234568,0.35308641975308647,0.3234567901234568,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.5,0.5,0.5,
13,1.0,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.5,0.5,0.5,
14,1.0,0.43788721051434837,0.2810563947428258,0.2810563947428258,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.5,0.5,0.5,
15,1.0,0.43788721051434837,0.2810563947428258,0.2810563947428258,0.428260946507702,0.571739053492298,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.5,0.5,0.5,
16,1.0,0.43788721051434837,0.2810563947428258,0.2810563947428258,0.428260946507702,0.571739053492298,0.5,0.5,0.2810563947428258,0.43788721051434837,0.2810563947428258,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.3017720118338125,0.5,0.5,0.5,
17,1.0,0.43788721051434837,0.2810563947428258,0.2810563947428258,0.428260946507702,0.571739053492298,0.5,0.5,0.2810563947428258,0.43788721051434837,0.2810563947428258,0.45113394311489785,0.5488660568851021,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.43788721051434837,0.2810563947428258,0.2810563947428258,0.5,0.5,0.5,
18,1.0,0.43788721051434837,0.2810563947428258,0.2810563947428258,0.428260946507702,0.571739053492298,0.5,0.5,0.2810563947428258,0.43788721051434837,0.2810563947428258,0.428260946507702,0.571739053492298,0.5,0.5,0.3017720118338125,0.39645597633237495,0.3017720118338125,0.43788721051434837,0.2810563947428258,0.2810563947428258,0.5,0.5,0.5,
